"id","venta_id","monto","estado","cliente_id","productos","monto_total","fecha","descripcion"
"1","1",,"pendiente","2","[{""nombre"":""Split EKO 2T"",""cantidad"":2,""id_producto"":1,""precio_unitario"":530}]","1060.00","2025-10-08 15:55:22.347494","Deuda generada por venta 1"
"2","2",,"pendiente","3","[{""nombre"":""Split EKO 2T"",""cantidad"":6,""id_producto"":1,""precio_unitario"":530}]","3180.00","2025-10-08 15:57:28.946089","Deuda generada por venta 2"
"3","3",,"pendiente","4","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":11,""id_producto"":8,""precio_unitario"":38}]","418.00","2025-10-08 16:08:34.641995","Deuda generada por venta 3"
"4","4",,"pagada","5","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":10,""id_producto"":8,""precio_unitario"":38}]","0.00","2025-10-08 16:13:15.081817","Deuda generada por venta 4"
"5","5",,"pagada","6","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":30,""id_producto"":8,""precio_unitario"":38}]","0.00","2025-10-08 16:14:30.246491","Deuda generada por venta 5"
"6","6",,"pagada","7","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":4,""id_producto"":8,""precio_unitario"":37}]","0.00","2025-10-08 16:16:03.49449","Deuda generada por venta 6"
"7","7",,"pagada","8","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""id_producto"":8,""precio_unitario"":37}]","0.00","2025-10-08 16:17:42.435557","Deuda generada por venta 7"
"8","8",,"pendiente","2","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":4,""id_producto"":8,""precio_unitario"":37}]","148.00","2025-10-08 16:22:13.97693","Deuda generada por venta 8"
"9","9",,"pagada","9","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":15,""id_producto"":8,""precio_unitario"":38}]","0.00","2025-10-08 16:30:14.948858","Deuda generada por venta 9"
"10","10",,"pagada","10","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""id_producto"":8,""precio_unitario"":37}]","0.00","2025-10-08 16:31:03.198278","Deuda generada por venta 10"
"11","11",,"pagada","11","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":5,""id_producto"":8,""precio_unitario"":37}]","0.00","2025-10-08 16:31:59.444915","Deuda generada por venta 11"
"12","14",,"pagada","13","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""id_producto"":8,""precio_unitario"":37}]","0.00","2025-10-08 16:34:54.468107","Deuda generada por venta 14"
"13","15",,"pagada","14","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":10,""id_producto"":8,""precio_unitario"":37}]","0.00","2025-10-08 16:35:40.457993","Deuda generada por venta 15"
"14","16",,"pagada","15","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":4,""id_producto"":8,""precio_unitario"":37}]","0.00","2025-10-08 16:37:02.092595","Deuda generada por venta 16"
"15","17",,"pagada","16","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":4,""id_producto"":8,""precio_unitario"":37}]","0.00","2025-10-08 16:38:00.303439","Deuda generada por venta 17"
"16","18",,"pagada","17","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""id_producto"":8,""precio_unitario"":37}]","0.00","2025-10-08 16:38:44.184172","Deuda generada por venta 18"
"17","19",,"pagada","8","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""id_producto"":8,""precio_unitario"":37}]","0.00","2025-10-08 16:40:15.84139","Deuda generada por venta 19"
"18","20",,"pendiente","12","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":41,""id_producto"":8,""precio_unitario"":37}]","0.18","2025-10-08 16:41:44.250787","Deuda generada por venta 20"
"19","21",,"pendiente","18","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":2,""id_producto"":8,""precio_unitario"":37}]","74.00","2025-10-08 16:42:25.84835","Deuda generada por venta 21"
"20","22",,"pagada","19","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":3,""id_producto"":8,""precio_unitario"":37}]","0.00","2025-10-08 16:43:03.158091","Deuda generada por venta 22"
"21","23",,"pendiente","20","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":20,""id_producto"":8,""precio_unitario"":37}]","259.00","2025-10-08 16:44:17.623066","Deuda generada por venta 23"
"22","24",,"pagada","21","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""id_producto"":8,""precio_unitario"":37}]","0.00","2025-10-08 16:45:04.129591","Deuda generada por venta 24"
"23","25",,"pagada","22","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""id_producto"":8,""precio_unitario"":37}]","0.00","2025-10-08 16:45:53.077744","Deuda generada por venta 25"
"24","26",,"pendiente","23","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":2,""id_producto"":8,""precio_unitario"":37}]","74.00","2025-10-08 16:47:10.243934","Deuda generada por venta 26"
"25","27",,"pagada","25","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""id_producto"":8,""precio_unitario"":37}]","0.00","2025-10-08 16:47:43.941248","Deuda generada por venta 27"
"26","28",,"pendiente","7","[{""nombre"":""Ventilador JMD 18p"",""cantidad"":4,""id_producto"":3,""precio_unitario"":65}]","260.00","2025-10-08 16:52:39.251836","Deuda generada por venta 28"
"27","29",,"pendiente","26","[{""nombre"":""Ventilador JMD 18p"",""cantidad"":4,""id_producto"":3,""precio_unitario"":65}]","260.00","2025-10-08 16:53:17.245277","Deuda generada por venta 29"
"28","30",,"pagada","14","[{""nombre"":""Ventilador JMD 18p"",""cantidad"":5,""id_producto"":3,""precio_unitario"":65}]","0.00","2025-10-08 16:53:42.268055","Deuda generada por venta 30"
"29","31",,"pendiente","2","[{""nombre"":""Ventilador JMD 18p"",""cantidad"":4,""id_producto"":3,""precio_unitario"":65}]","260.00","2025-10-08 16:54:58.207391","Deuda generada por venta 31"
"30","32",,"pagada","25","[{""nombre"":""Ventilador JMD 18p"",""cantidad"":1,""id_producto"":3,""precio_unitario"":65}]","0.00","2025-10-08 16:55:32.378463","Deuda generada por venta 32"
