"id","cliente_id","fecha","subtotal","pagado","saldo","productos_vendidos","total","tipo_pago","usuario"
"1","2","2025-10-08 15:55:21.579917",,"0.0",,"[{""nombre"":""Split EKO 2T"",""cantidad"":2,""subtotal"":1060,""id_producto"":1,""precio_unitario"":530}]","1060.0","Pendiente","Adrian"
"2","3","2025-10-08 15:57:28.172611",,"0.0",,"[{""nombre"":""Split EKO 2T"",""cantidad"":6,""subtotal"":3180,""id_producto"":1,""precio_unitario"":530}]","3180.0","Pendiente","Adrian"
"3","4","2025-10-08 16:08:33.884727",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":11,""subtotal"":418,""id_producto"":8,""precio_unitario"":38}]","418.0","Pendiente","Adrian"
"4","5","2025-10-08 16:13:14.324257",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":10,""subtotal"":380,""id_producto"":8,""precio_unitario"":38}]","380.0","Pendiente","Adrian"
"5","6","2025-10-08 16:14:29.487519",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":30,""subtotal"":1140,""id_producto"":8,""precio_unitario"":38}]","1140.0","Pendiente","Adrian"
"6","7","2025-10-08 16:16:02.735834",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":4,""subtotal"":148,""id_producto"":8,""precio_unitario"":37}]","148.0","Pendiente","Adrian"
"7","8","2025-10-08 16:17:41.664075",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""subtotal"":37,""id_producto"":8,""precio_unitario"":37}]","37.0","Pendiente","Adrian"
"8","2","2025-10-08 16:22:13.220462",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":4,""subtotal"":148,""id_producto"":8,""precio_unitario"":37}]","148.0","Pendiente","Adrian"
"9","9","2025-10-08 16:30:14.171258",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":15,""subtotal"":570,""id_producto"":8,""precio_unitario"":38}]","570.0","Pendiente","Adrian"
"10","10","2025-10-08 16:31:02.429786",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""subtotal"":37,""id_producto"":8,""precio_unitario"":37}]","37.0","Pendiente","Adrian"
"11","11","2025-10-08 16:31:58.684756",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":5,""subtotal"":185,""id_producto"":8,""precio_unitario"":37}]","185.0","Pendiente","Adrian"
"12","12","2025-10-08 16:33:34.414384",,"185.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":5,""subtotal"":185,""id_producto"":8,""precio_unitario"":37}]","185.0","Efectivo","Adrian"
"13","12","2025-10-08 16:33:34.787917",,"185.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":5,""subtotal"":185,""id_producto"":8,""precio_unitario"":37}]","185.0","Efectivo","Adrian"
"14","13","2025-10-08 16:34:53.70116",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""subtotal"":37,""id_producto"":8,""precio_unitario"":37}]","37.0","Pendiente","Adrian"
"15","14","2025-10-08 16:35:39.692097",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":10,""subtotal"":370,""id_producto"":8,""precio_unitario"":37}]","370.0","Pendiente","Adrian"
"16","15","2025-10-08 16:37:01.326773",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":4,""subtotal"":148,""id_producto"":8,""precio_unitario"":37}]","148.0","Pendiente","Adrian"
"17","16","2025-10-08 16:37:59.534357",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":4,""subtotal"":148,""id_producto"":8,""precio_unitario"":37}]","148.0","Pendiente","Adrian"
"18","17","2025-10-08 16:38:43.398244",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""subtotal"":37,""id_producto"":8,""precio_unitario"":37}]","37.0","Pendiente","Adrian"
"19","8","2025-10-08 16:40:15.075468",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""subtotal"":37,""id_producto"":8,""precio_unitario"":37}]","37.0","Pendiente","Adrian"
"20","12","2025-10-08 16:41:43.487038",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":41,""subtotal"":1517,""id_producto"":8,""precio_unitario"":37}]","1517.0","Pendiente","Adrian"
"21","18","2025-10-08 16:42:25.074555",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":2,""subtotal"":74,""id_producto"":8,""precio_unitario"":37}]","74.0","Pendiente","Adrian"
"22","19","2025-10-08 16:43:02.380231",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":3,""subtotal"":111,""id_producto"":8,""precio_unitario"":37}]","111.0","Pendiente","Adrian"
"23","20","2025-10-08 16:44:16.857717",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":20,""subtotal"":740,""id_producto"":8,""precio_unitario"":37}]","740.0","Pendiente","Adrian"
"24","21","2025-10-08 16:45:03.364114",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""subtotal"":37,""id_producto"":8,""precio_unitario"":37}]","37.0","Pendiente","Adrian"
"25","22","2025-10-08 16:45:52.305028",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""subtotal"":37,""id_producto"":8,""precio_unitario"":37}]","37.0","Pendiente","Adrian"
"26","23","2025-10-08 16:47:09.461938",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":2,""subtotal"":74,""id_producto"":8,""precio_unitario"":37}]","74.0","Pendiente","Adrian"
"27","25","2025-10-08 16:47:43.176967",,"0.0",,"[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""subtotal"":37,""id_producto"":8,""precio_unitario"":37}]","37.0","Pendiente","Adrian"
"28","7","2025-10-08 16:52:38.445693",,"0.0",,"[{""nombre"":""Ventilador JMD 18p"",""cantidad"":4,""subtotal"":260,""id_producto"":3,""precio_unitario"":65}]","260.0","Pendiente","Adrian"
"29","26","2025-10-08 16:53:16.484819",,"0.0",,"[{""nombre"":""Ventilador JMD 18p"",""cantidad"":4,""subtotal"":260,""id_producto"":3,""precio_unitario"":65}]","260.0","Pendiente","Adrian"
"30","14","2025-10-08 16:53:41.509214",,"0.0",,"[{""nombre"":""Ventilador JMD 18p"",""cantidad"":5,""subtotal"":325,""id_producto"":3,""precio_unitario"":65}]","325.0","Pendiente","Adrian"
"31","2","2025-10-08 16:54:57.318184",,"0.0",,"[{""nombre"":""Ventilador JMD 18p"",""cantidad"":4,""subtotal"":260,""id_producto"":3,""precio_unitario"":65}]","260.0","Pendiente","Adrian"
"32","25","2025-10-08 16:55:31.617653",,"0.0",,"[{""nombre"":""Ventilador JMD 18p"",""cantidad"":1,""subtotal"":65,""id_producto"":3,""precio_unitario"":65}]","65.0","Pendiente","Adrian"
"33","27","2025-10-08 16:58:09.273892",,"0.0",,"[{""nombre"":""Ventilador JMD 18p"",""cantidad"":1,""subtotal"":65,""id_producto"":3,""precio_unitario"":65}]","65.0","Pendiente","Adrian"
"34","17","2025-10-08 17:03:57.35962",,"0.0",,"[{""nombre"":""Cocina Infrarroja Briderk"",""cantidad"":1,""subtotal"":32,""id_producto"":9,""precio_unitario"":32}]","32.0","Pendiente","Adrian"
"35","18","2025-10-08 17:04:23.33272",,"0.0",,"[{""nombre"":""Cocina Infrarroja Briderk"",""cantidad"":10,""subtotal"":320,""id_producto"":9,""precio_unitario"":32}]","320.0","Pendiente","Adrian"
